column,pandas_dtype,unit,description,provenance
Cellulose Mean (g/100g DM),float64,g/100 g DM,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
Hemicelluloses Mean (g/100g DM),float64,g/100 g DM,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
Lignin Mean (g/100g DM),float64,g/100 g DM,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
A_BMP_VS_all_features__nested_oof_prediction_mean,float64,Nm³ CH₄/t VS,Mean repeated out-of-fold validation prediction for the named scenario. Each prediction contributing to the mean was generated when the row was excluded from training.,generated by repeated nested cross-validation
A_BMP_VS_all_features__nested_oof_prediction_sd,float64,Nm³ CH₄/t VS,Standard deviation of repeated out-of-fold validation predictions for the row and named scenario.,generated by repeated nested cross-validation
A_BMP_VS_all_features__nested_oof_residual_obs_minus_pred,float64,Nm³ CH₄/t VS,"Out-of-fold validation residual for the named scenario, calculated as observed minus predicted; this is the negative of prediction error.",generated by repeated nested cross-validation
A_BMP_VS_all_features__nested_oof_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t VS,"Out-of-fold validation prediction error for the named scenario, calculated as predicted minus observed; positive values indicate overprediction.",generated by repeated nested cross-validation
A_BMP_VS_all_features__nested_oof_abs_error,float64,Nm³ CH₄/t VS,Absolute value of the out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
A_BMP_VS_all_features__nested_oof_abs_pct_error,float64,%,Absolute percentage out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
B_BMP_DM_no_DM_VS__nested_oof_prediction_mean,float64,Nm³ CH₄/t DM,Mean repeated out-of-fold validation prediction for the named scenario. Each prediction contributing to the mean was generated when the row was excluded from training.,generated by repeated nested cross-validation
B_BMP_DM_no_DM_VS__nested_oof_prediction_sd,float64,Nm³ CH₄/t DM,Standard deviation of repeated out-of-fold validation predictions for the row and named scenario.,generated by repeated nested cross-validation
B_BMP_DM_no_DM_VS__nested_oof_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Out-of-fold validation residual for the named scenario, calculated as observed minus predicted; this is the negative of prediction error.",generated by repeated nested cross-validation
B_BMP_DM_no_DM_VS__nested_oof_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,"Out-of-fold validation prediction error for the named scenario, calculated as predicted minus observed; positive values indicate overprediction.",generated by repeated nested cross-validation
B_BMP_DM_no_DM_VS__nested_oof_abs_error,float64,Nm³ CH₄/t DM,Absolute value of the out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
B_BMP_DM_no_DM_VS__nested_oof_abs_pct_error,float64,%,Absolute percentage out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
C_BMP_DM_all_features__nested_oof_prediction_mean,float64,Nm³ CH₄/t DM,Mean repeated out-of-fold validation prediction for the named scenario. Each prediction contributing to the mean was generated when the row was excluded from training.,generated by repeated nested cross-validation
C_BMP_DM_all_features__nested_oof_prediction_sd,float64,Nm³ CH₄/t DM,Standard deviation of repeated out-of-fold validation predictions for the row and named scenario.,generated by repeated nested cross-validation
C_BMP_DM_all_features__nested_oof_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Out-of-fold validation residual for the named scenario, calculated as observed minus predicted; this is the negative of prediction error.",generated by repeated nested cross-validation
C_BMP_DM_all_features__nested_oof_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,"Out-of-fold validation prediction error for the named scenario, calculated as predicted minus observed; positive values indicate overprediction.",generated by repeated nested cross-validation
C_BMP_DM_all_features__nested_oof_abs_error,float64,Nm³ CH₄/t DM,Absolute value of the out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
C_BMP_DM_all_features__nested_oof_abs_pct_error,float64,%,Absolute percentage out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
D1_BMP_DM_no_DM__nested_oof_prediction_mean,float64,Nm³ CH₄/t DM,Mean repeated out-of-fold validation prediction for the named scenario. Each prediction contributing to the mean was generated when the row was excluded from training.,generated by repeated nested cross-validation
D1_BMP_DM_no_DM__nested_oof_prediction_sd,float64,Nm³ CH₄/t DM,Standard deviation of repeated out-of-fold validation predictions for the row and named scenario.,generated by repeated nested cross-validation
D1_BMP_DM_no_DM__nested_oof_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Out-of-fold validation residual for the named scenario, calculated as observed minus predicted; this is the negative of prediction error.",generated by repeated nested cross-validation
D1_BMP_DM_no_DM__nested_oof_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,"Out-of-fold validation prediction error for the named scenario, calculated as predicted minus observed; positive values indicate overprediction.",generated by repeated nested cross-validation
D1_BMP_DM_no_DM__nested_oof_abs_error,float64,Nm³ CH₄/t DM,Absolute value of the out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
D1_BMP_DM_no_DM__nested_oof_abs_pct_error,float64,%,Absolute percentage out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
D2_BMP_DM_no_VS__nested_oof_prediction_mean,float64,Nm³ CH₄/t DM,Mean repeated out-of-fold validation prediction for the named scenario. Each prediction contributing to the mean was generated when the row was excluded from training.,generated by repeated nested cross-validation
D2_BMP_DM_no_VS__nested_oof_prediction_sd,float64,Nm³ CH₄/t DM,Standard deviation of repeated out-of-fold validation predictions for the row and named scenario.,generated by repeated nested cross-validation
D2_BMP_DM_no_VS__nested_oof_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Out-of-fold validation residual for the named scenario, calculated as observed minus predicted; this is the negative of prediction error.",generated by repeated nested cross-validation
D2_BMP_DM_no_VS__nested_oof_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,"Out-of-fold validation prediction error for the named scenario, calculated as predicted minus observed; positive values indicate overprediction.",generated by repeated nested cross-validation
D2_BMP_DM_no_VS__nested_oof_abs_error,float64,Nm³ CH₄/t DM,Absolute value of the out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
D2_BMP_DM_no_VS__nested_oof_abs_pct_error,float64,%,Absolute percentage out-of-fold validation prediction error for the named scenario.,generated by repeated nested cross-validation
A_BMP_VS_all_features__apparent_full_data_prediction,float64,Nm³ CH₄/t VS,Apparent full-data fitted prediction from a model trained on all eligible rows for the named scenario. This is not an out-of-fold validation prediction.,generated from a full-data apparent fit
A_BMP_VS_all_features__apparent_full_data_residual_obs_minus_pred,float64,Nm³ CH₄/t VS,"Apparent full-data fitted residual, calculated as observed minus the corresponding fitted prediction. This is not an out-of-fold validation residual.",generated from a full-data apparent fit
A_BMP_VS_all_features__apparent_full_data_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t VS,Apparent full-data fitted prediction minus the corresponding observed value for scenario A_BMP_VS_all_features. Positive values indicate overprediction and negative values indicate underprediction. This is not an out-of-fold validation error. Unit: Nm³ CH₄/t VS.,generated from a full-data apparent fit
B_BMP_DM_no_DM_VS__apparent_full_data_prediction,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction from a model trained on all eligible rows for the named scenario. This is not an out-of-fold validation prediction.,generated from a full-data apparent fit
B_BMP_DM_no_DM_VS__apparent_full_data_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Apparent full-data fitted residual, calculated as observed minus the corresponding fitted prediction. This is not an out-of-fold validation residual.",generated from a full-data apparent fit
B_BMP_DM_no_DM_VS__apparent_full_data_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction minus the corresponding observed value for scenario B_BMP_DM_no_DM_VS. Positive values indicate overprediction and negative values indicate underprediction. This is not an out-of-fold validation error. Unit: Nm³ CH₄/t DM.,generated from a full-data apparent fit
C_BMP_DM_all_features__apparent_full_data_prediction,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction from a model trained on all eligible rows for the named scenario. This is not an out-of-fold validation prediction.,generated from a full-data apparent fit
C_BMP_DM_all_features__apparent_full_data_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Apparent full-data fitted residual, calculated as observed minus the corresponding fitted prediction. This is not an out-of-fold validation residual.",generated from a full-data apparent fit
C_BMP_DM_all_features__apparent_full_data_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction minus the corresponding observed value for scenario C_BMP_DM_all_features. Positive values indicate overprediction and negative values indicate underprediction. This is not an out-of-fold validation error. Unit: Nm³ CH₄/t DM.,generated from a full-data apparent fit
D1_BMP_DM_no_DM__apparent_full_data_prediction,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction from a model trained on all eligible rows for the named scenario. This is not an out-of-fold validation prediction.,generated from a full-data apparent fit
D1_BMP_DM_no_DM__apparent_full_data_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Apparent full-data fitted residual, calculated as observed minus the corresponding fitted prediction. This is not an out-of-fold validation residual.",generated from a full-data apparent fit
D1_BMP_DM_no_DM__apparent_full_data_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction minus the corresponding observed value for scenario D1_BMP_DM_no_DM. Positive values indicate overprediction and negative values indicate underprediction. This is not an out-of-fold validation error. Unit: Nm³ CH₄/t DM.,generated from a full-data apparent fit
D2_BMP_DM_no_VS__apparent_full_data_prediction,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction from a model trained on all eligible rows for the named scenario. This is not an out-of-fold validation prediction.,generated from a full-data apparent fit
D2_BMP_DM_no_VS__apparent_full_data_residual_obs_minus_pred,float64,Nm³ CH₄/t DM,"Apparent full-data fitted residual, calculated as observed minus the corresponding fitted prediction. This is not an out-of-fold validation residual.",generated from a full-data apparent fit
D2_BMP_DM_no_VS__apparent_full_data_prediction_error_pred_minus_obs,float64,Nm³ CH₄/t DM,Apparent full-data fitted prediction minus the corresponding observed value for scenario D2_BMP_DM_no_VS. Positive values indicate overprediction and negative values indicate underprediction. This is not an out-of-fold validation error. Unit: Nm³ CH₄/t DM.,generated from a full-data apparent fit
prediction_note,str,text,"Identifies the scenario structure: A_BMP_VS_all_features (BMP per VS sensitivity), B_BMP_DM_no_DM_VS (BMP per DM without DM/VS), C_BMP_DM_all_features (primary BMP per DM Random Forest), D1_BMP_DM_no_DM (BMP per DM without DM), and D2_BMP_DM_no_VS (BMP per DM without VS). It also clarifies that nested-CV columns are out-of-fold validation predictions, whereas apparent full-data columns are fitted on all eligible rows and are not validation results.",constructed from source variables
